"観光地区名","和歌山","大　阪","京　都","兵　庫","奈　良","滋　賀","三　重","四　国","中　国","東　 海","北　陸","関　東","東　北","北海道","九州沖縄","外国人","不　明","計"
"龍神温泉・護摩壇山_宿泊者数","9254.0","20759.0","2263.0","4842.0","2106.0","1001.0","1202.0","2464.0","1541.0","4139.0","710.0","4660.0","340.0","267.0","692.0","379.0","4063.0","60682.0"
"龍神温泉・護摩壇山_構成率","0.15249991760324313","0.34209485514650145","0.03729277215648792","0.07979301934675852","0.034705513990969314","0.0164958307241027","0.019808180350021423","0.04060512178240665","0.025394680465376882","0.06820803533172934","0.011700339474638279","0.07679377739692166","0.005602979466728189","0.004399986816518902","0.011403711149929139","0.006245674170264659","0.06695560462740187","1.0"
"田辺・中辺路・百間山・みなべ　　　　　　　_宿泊者数","59386.0","114291.0","14139.0","24061.0","10835.0","3137.0","4612.0","2817.0","4869.0","23453.0","3862.0","34261.0","1136.0","1099.0","7630.0","69559.0","62082.0","441229.0"
"田辺・中辺路・百間山・みなべ　　　　　　　_構成率","0.13459224121714575","0.2590287583091773","0.032044584558131944","0.05453177375013882","0.02455640948351083","0.0071096868066242245","0.010452622107794365","0.006384439826031381","0.011035086089082994","0.053153804487012415","0.008752824497029887","0.07764902125653572","0.0025746267811045964","0.0024907700989735488","0.017292607693510625","0.15764829600955513","0.14070244702864046","1.0"
"白浜温泉・椿温泉_宿泊者数","216748.0","825706.0","134177.0","196105.0","92892.0","59864.0","3270.0","37157.0","41285.0","176756.0","20643.0","127984.0","10321.0","8257.0","16514.0","96585.0","0.0","2064264.0"
"白浜温泉・椿温泉_構成率","0.10500013564156523","0.40000019377366464","0.06499992249053416","0.09499996124526708","0.04500005813209938","0.029000166645351565","0.0015840997081768612","0.018000120139672057","0.019999864358434774","0.08562664465397837","0.010000174396298148","0.06199982172822856","0.004999844981068313","0.0039999728716869545","0.007999945743373909","0.04678907349060004","0.0","1.0"
"枯木灘_宿泊者数","10383.0","22870.0","2832.0","4575.0","2436.0","706.0","1137.0","439.0","811.0","1167.0","269.0","1817.0","164.0","100.0","400.0","528.0","17040.0","67674.0"
"枯木灘_構成率","0.1534267222271478","0.33794367112923723","0.041847681532050714","0.06760351094955226","0.03599609894494193","0.010432366935603038","0.01680113485238053","0.006486981706416053","0.011983922924609156","0.017244436563525135","0.003974938676596625","0.026849306971658243","0.0024233826875905075","0.0014776723704820168","0.005910689481928067","0.0078021101161450486","0.2517953719301356","1.0"
"串本_宿泊者数","28613.0","131846.0","12343.0","10940.0","12343.0","1964.0","7294.0","2244.0","3086.0","33663.0","842.0","15709.0","281.0","561.0","3927.0","12012.0","2856.0","280524.0"
"串本_構成率","0.10199840298869259","0.46999900186793286","0.04399980037358658","0.03899844576578118","0.04399980037358658","0.007001183499451028","0.026001340348775864","0.007999315566582538","0.011000841282742297","0.12000042777088592","0.0030015257161597583","0.055998773723460384","0.0010016968245141235","0.0019998288916456344","0.013998802241519443","0.042819865679941824","0.010180947084741413","1.0"
"勝浦温泉・湯川温泉_宿泊者数","114760.0","80430.0","32379.0","39626.0","15366.0","14545.0","21163.0","11340.0","20574.0","119803.0","13667.0","95792.0","12923.0","4716.0","21425.0","49212.0","34236.0","701957.0"
"勝浦温泉・湯川温泉_構成率","0.16348579756309858","0.11457966798536093","0.046126757052070144","0.056450751256843366","0.021890229743417332","0.02072064243251367","0.030148570354024535","0.016154835695063943","0.029309487618187437","0.17066999830473947","0.019469853566529003","0.13646419937403573","0.01840995958441899","0.00671836024143929","0.03052181258966005","0.07010685839730924","0.04877221824128829","1.0"
